"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"3734","PA4851_26690",0.384,0.279,0.34,2,2,2,0.131,0.178,NA,1,1,NA
"3735","PA4851_26710",0.184,0.301,0.076,1,2,1,0.199,0.28,0.075,1,2,1
"3736","PA4851_26735",0.304,NA,0.262,2,NA,2,0.328,NA,0.247,2,NA,1
"3737","PA4851_26740",0.15,0.267,0.133,1,2,1,0.198,0.334,0.148,1,2,1
"3738","PA4851_26745",0.244,0.385,0.186,1,2,1,0.23,0.385,0.17,1,2,1
"3739","PA4851_26770",0.247,NA,NA,1,NA,NA,0.218,NA,NA,1,NA,NA
"3740","PA4851_26780",0.284,0.351,NA,2,2,NA,0.27,0.375,NA,2,2,NA
"3741","PA4851_26785",0.588,1,0.682,3,4,3,1,1,0.682,4,4,3
"3742","PA4851_26790",0.063,0.492,0.139,1,2,1,0.091,0.265,0.126,1,2,1
"3743","PA4851_26795",NA,NA,0.111,NA,NA,1,NA,NA,0.943,NA,NA,4
"3744","PA4851_26805",0.057,NA,0.174,1,NA,1,0.058,NA,0.194,1,NA,1
"3745","PA4851_26810",0.304,0.397,0.248,2,2,1,0.175,NA,0.242,1,NA,1
"3746","PA4851_26820",0.687,NA,0.476,3,NA,2,0.687,NA,0.654,3,NA,3
"3747","PA4851_26825",0.162,0.357,0.228,1,2,1,0.197,0.395,0.219,1,2,1
"3748","PA4851_26830",0.541,NA,0.292,3,NA,2,0.282,NA,0.207,2,NA,1
"3749","PA4851_26835",0.108,0.218,0.028,1,1,1,0.11,0.377,0.051,1,2,1
"3750","PA4851_26840",0.699,NA,0.527,3,NA,3,0.699,NA,0.671,3,NA,3
"3751","PA4851_26850",0.481,0.598,0.044,2,3,1,0.542,0.479,0.048,3,2,1
"3752","PA4851_26855",0.132,NA,0.147,1,NA,1,0.14,NA,0.151,1,NA,1
"3753","PA4851_26865",0.258,0.35,0.243,2,2,1,0.338,0.459,0.242,2,2,1
"3754","PA4851_26870",0.187,0.614,0.271,1,3,2,0.408,0.724,0.56,2,3,3
"3755","PA4851_26875",0.747,1,NA,3,4,NA,1,1,NA,4,4,NA
"3756","PA4851_26880",0.279,0.556,0.741,2,3,3,0.162,0.29,0.286,1,2,2
"3757","PA4851_26895",0.18,0.277,0.321,1,2,2,0.141,0.45,0.257,1,2,2
"3758","PA4851_26900",0.273,0.5,0.683,2,2,3,0.273,0.406,0.549,2,2,3
"3759","PA4851_26905",NA,0.141,0.122,NA,1,1,NA,NA,0.056,NA,NA,1
"3760","PA4851_26910",0.812,NA,0.714,4,NA,3,0.907,NA,0.704,4,NA,3
"3761","PA4851_26955",NA,0.487,NA,NA,2,NA,NA,0.645,NA,NA,3,NA
"3762","PA4851_26960",0.163,0.432,NA,1,2,NA,0.145,0.434,NA,1,2,NA
"3763","PA4851_26965",NA,0.581,0.147,NA,3,1,NA,0.579,0.117,NA,3,1
"3764","PA4851_27005",0.129,0.3,0.202,1,2,1,0.156,0.285,0.281,1,2,2
"3765","PA4851_27010",0.862,0.601,0.792,4,3,4,0.836,1,0.806,4,4,4
"3766","PA4851_27015",0.101,0.38,0.085,1,2,1,NA,0.292,1,NA,2,4
"3767","PA4851_27020",0.171,0.267,0.117,1,2,1,0.221,0.334,0.139,1,2,1
"3768","PA4851_27025",1,0.72,NA,4,3,NA,1,0.72,NA,4,3,NA
"3769","PA4851_27030",0.157,0.329,0.155,1,2,1,0.207,0.359,0.178,1,2,1
"3770","PA4851_27050",0.094,0.3,0.172,1,2,1,0.613,0.417,0.399,3,2,2
"3771","PA4851_27070",0.313,0.553,NA,2,3,NA,0.258,0.456,NA,2,2,NA
"3772","PA4851_27090",0.083,0.333,0.161,1,2,1,0.089,0.39,0.164,1,2,1
"3773","PA4851_27095",0.216,0.321,0.095,1,2,1,0.366,0.572,0.151,2,3,1
"3774","PA4851_27110",0.106,0.392,0.119,1,2,1,0.229,0.494,0.489,1,2,2
"3775","PA4851_27135",0.687,1,0.79,3,4,4,0.272,NA,0.674,2,NA,3
"3776","PA4851_27145",NA,0.52,NA,NA,3,NA,NA,0.181,NA,NA,1,NA
"3777","PA4851_27155",0.751,0.575,0.918,4,3,4,NA,0.575,0.675,NA,3,3
"3778","PA4851_27160",0.287,0.567,0.181,2,3,1,0.341,0.53,0.192,2,3,1
"3779","PA4851_27165",NA,NA,0.094,NA,NA,1,NA,NA,0.09,NA,NA,1
"3780","PA4851_27170",0.39,0.5,0.677,2,2,3,0.31,NA,0.032,2,NA,1
"3781","PA4851_27175",0.045,0.324,0.072,1,2,1,0.031,0.312,0.055,1,2,1
"3782","PA4851_27180",0.733,1,1,3,4,4,0.929,1,0.803,4,4,4
"3783","PA4851_27190",0.332,0.454,0.405,2,2,2,0.21,0.649,0.376,1,3,2
